Year,Gold_Price,Year,Gold_Price
2022,52950,1993,4140
2021,50045,1992,4334
2020,48651,1991,3466
2019,35220,1990,3200
2018,31438,1989,3140
2017,29667,1988,3130
2016,28623,1987,2570
2015,26343,1986,2140
2014,28006,1985,2130
2013,29600,1984,1970
2012,31050,1983,1800
2011,26400,1982,1645
2010,18500,1981,1800
2009,14500,1980,1330
2008,12500,1979,937
2007,10800,1978,685
2006,8400,1977,486
2005,7000,1976,432
2004,5850,1975,540
2003,5600,1974,506
2002,4990,1973,279
2001,4300,1972,202
2000,4400,1971,193
1999,4234,1970,184
1998,4045,1969,176
1997,4725,1968,162
1996,5160,1967,103
1995,4680,1966,84
1994,4598,1965,84
